gender;email;phone;cell;nat;"name;title";"name;first";"name;last";"location;street;number";"location;street;name";"location;city";"location;state";"location;country";"location;postcode";"location;coordinates;latitude";"location;coordinates;longitude";"location;timezone;offset";"location;timezone;description";"login;uuid";"login;username";"login;password";"login;salt";"login;md5";"login;sha1";"login;sha256";"dob;date";"dob;age";"registered;date";"registered;age";"id;name";"id;value";"picture;large";"picture;medium";"picture;thumbnail"
male;gustav.nielsen@example.com;92196750;11599051;DK;Mr;Gustav;Nielsen;1420;Blåmejsevej;Assens;Danmark;Denmark;87740;-38.9253;-158.7079;+4:30;Kabul;5aa2110d-d956-44c6-8c0e-5fa5f41eac80;angryswan411;robbie;ZLtypXzs;9fbfb5dd0c7a285ea65f49138a4209c7;30923a30452cb317e411b5b632968a3444891cf1;7b46f52172028b69b9a4d945d9d248c897617562eb9611be0a70ed0d252d9d75;1999-01-28T23:37:07.095Z;23;2014-11-22T19:06:19.323Z;7;CPR;280199-0206;https://randomuser.me/api/portraits/men/33.jpg;https://randomuser.me/api/portraits/med/men/33.jpg;https://randomuser.me/api/portraits/thumb/men/33.jpg
female;osipa.viter@example.com;(098) Z01-6136;(066) C14-8240;UA;Ms;Osipa;Viter;30;Provulok Levitana;Tavriysk;Zaporizka;Ukraine;61688;-70.9699;-115.1501;+6:00;Almaty, Dhaka, Colombo;8ff19204-09fe-452a-807d-49af50ba4b0d;ticklishfrog937;1977;O0tcSNrS;9b7aa3f2254c52762bc7054d110f1106;b69c3809038eff2c25c5e0f72e31525adaf618e1;67d7497fc3408b9ac54f9c0c4915612c5c62704be724b67873cec803bca3244e;1994-01-10T05:30:09.150Z;28;2006-03-02T04:35:56.885Z;16;;;https://randomuser.me/api/portraits/women/12.jpg;https://randomuser.me/api/portraits/med/women/12.jpg;https://randomuser.me/api/portraits/thumb/women/12.jpg
male;balthasar.steinmetz@example.com;0529-4292407;0178-8739010;DE;Mr;Balthasar;Steinmetz;2323;Brunnenstraße;Schwalmstadt;Nordrhein-Westfalen;Germany;64992;-30.2366;155.0408;+9:30;Adelaide, Darwin;d32df029-16b1-4117-a371-301de32c999a;goldenpanda207;martini;IPwKH052;71187c34246dad8ec3242f1115548972;3706605be26e86234deabea567ee4825f7e34cea;728e5d5547c7260644ae264c73af40133e1f6a46eb78eb4efca02eb14bf84111;1951-09-20T13:09:21.909Z;70;2009-03-18T08:12:37.840Z;13;SVNR;79 200951 S 132;https://randomuser.me/api/portraits/men/14.jpg;https://randomuser.me/api/portraits/med/men/14.jpg;https://randomuser.me/api/portraits/thumb/men/14.jpg
female;ftmhzhr.ysmy@example.com;089-41907347;0992-819-7421;IR;Mrs;فاطمه زهرا;یاسمی;2637;واعظی;قائم‌شهر;کرمانشاه;Iran;46872;-25.8434;31.9884;-5:00;Eastern Time (US & Canada), Bogota, Lima;8fed95b1-1529-44e6-be36-0cdeb6e010e4;tinyswan376;chandler;IgTRYHBA;3d00d967e4a0b750084d1fe7ffe56721;49a5aaf6059fd05536c7af524848b173d7d86208;fed172ff87b1fe46bd45a6734198272487401fe50150385041c04bb6808a9d87;1973-04-09T15:39:13.722Z;49;2015-11-03T22:59:57.571Z;6;;;https://randomuser.me/api/portraits/women/8.jpg;https://randomuser.me/api/portraits/med/women/8.jpg;https://randomuser.me/api/portraits/thumb/women/8.jpg
male;rdyn.zraay@example.com;030-96235282;0975-364-9838;IR;Mr;رادین;زارعی;6888;ایران;نجف‌آباد;مازندران;Iran;47196;-40.4250;37.5303;-1:00;Azores, Cape Verde Islands;a9f644da-d681-4bbc-8763-ee48a1df62f1;organicfish788;davis;aUIJlQX2;19b781c25b30cab88c5cb6f9aa13d5b0;bd99fd30d2f59d2b120faed856b57f17e08988d4;cbe15be67a2d2ac7c6eb16b66e15395060f0de9befe31ed751a2bb91ad22eb50;1970-07-27T16:51:41.927Z;52;2018-06-26T04:03:41.877Z;4;;;https://randomuser.me/api/portraits/men/34.jpg;https://randomuser.me/api/portraits/med/men/34.jpg;https://randomuser.me/api/portraits/thumb/men/34.jpg
female;amelie.truong@example.com;87577549;99441438;NO;Ms;Amelie;Truong;3746;Lilleborggata;Skiptvet;Buskerud;Norway;2659;40.3153;-39.0747;+7:00;Bangkok, Hanoi, Jakarta;7bf4d2fb-7329-4253-ab2c-960c892bcd49;beautifulbutterfly733;youknow;OYmrjWHp;4df65ca26c43a5ae9f7f11484b2b0f6e;597514af670cd50ce8514e03b7f52a58492bd0e4;2b7ee8aeebe5b8bd282813728d2e4c3c95c329f9060f4b05f99255ae136b6b89;1972-08-31T05:36:29.019Z;50;2002-12-05T13:12:37.247Z;19;FN;31087244094;https://randomuser.me/api/portraits/women/48.jpg;https://randomuser.me/api/portraits/med/women/48.jpg;https://randomuser.me/api/portraits/thumb/women/48.jpg
female;florence.olson@example.com;(230) 738-4138;(230) 486-0991;US;Miss;Florence;Olson;8135;W 6th St;Helena;Texas;United States;82978;-39.2948;95.4028;+4:30;Kabul;7c551e94-584c-44b8-996e-e5dcc1ebc58b;orangezebra769;bacon;kVqK2T4m;958c6d78b0fe54e62f6325486f9d5102;68bc61c5394870ed083d803fc4d5fd2de39308c9;93881d8b79711e71e01cddd385a70bf9922d77f39d99f68ddab29a149cc3bdd1;1948-11-24T22:51:35.886Z;73;2006-05-07T11:22:06.176Z;16;SSN;231-45-5872;https://randomuser.me/api/portraits/women/14.jpg;https://randomuser.me/api/portraits/med/women/14.jpg;https://randomuser.me/api/portraits/thumb/women/14.jpg
female;dhanashri.chatterjee@example.com;9260744286;7681505116;IN;Miss;Dhanashri;Chatterjee;1372;Kasba Peth;Bhopal;Nagaland;India;94625;-61.0472;-26.5284;-4:00;Atlantic Time (Canada), Caracas, La Paz;ac342c83-f11b-4708-ab9b-c86fae76175c;whitemeercat645;twenty;Ik32SpXG;35b82e4d0160f2d330d745703e0fe840;67b21358060322f2f9a0fb47eb83322e3ab1ff98;43d43f1a2f24068b39b28ae2e043d3dcf990a8037c085dec7141d20b71b35bf1;1980-08-31T10:55:23.693Z;42;2017-10-29T09:15:34.687Z;4;UIDAI;633054065781;https://randomuser.me/api/portraits/women/55.jpg;https://randomuser.me/api/portraits/med/women/55.jpg;https://randomuser.me/api/portraits/thumb/women/55.jpg
female;dyn.khrymy@example.com;021-63477402;0978-302-0203;IR;Miss;دینا;کریمی;672;سهروردی;کرمان;ایلام;Iran;22570;-69.0225;-79.4520;+8:00;Beijing, Perth, Singapore, Hong Kong;fe5a4add-6dc2-4c49-9be3-18fb132140a5;ticklishkoala853;seinfeld;LyL09c0C;3216cdd9991c0ca9e966b573b007a177;bd84f8b4dba48d58ea1f28fda7c4f080161cfcd8;bd07de0dd61db0c913a07cfaf71d7261103dbc21faf0c507298f741aec342d52;1988-06-22T09:40:51.700Z;34;2016-05-30T09:51:04.620Z;6;;;https://randomuser.me/api/portraits/women/29.jpg;https://randomuser.me/api/portraits/med/women/29.jpg;https://randomuser.me/api/portraits/thumb/women/29.jpg
female;ariana.vesters@example.com;(0291) 860424;(06) 54386172;NL;Miss;Ariana;Vesters;6800;Clarissenhof;Boijl;Noord-Holland;Netherlands;0950 CZ;62.2139;-2.5083;-3:00;Brazil, Buenos Aires, Georgetown;25d0505c-a0ef-4245-a788-db48b3344262;organicostrich606;yvette;oXwOqd9W;28a3a8247f314d6688cec8833b9022b1;c86feffc078aaa53ee6bcc73dd415cc1ae79f10c;6ec3e4a99d4a0a15ba441ed968e4e14165837f5233de6e200258f99b8b08d610;1954-07-01T15:25:27.391Z;68;2013-07-05T11:02:25.691Z;9;BSN;41153946;https://randomuser.me/api/portraits/women/27.jpg;https://randomuser.me/api/portraits/med/women/27.jpg;https://randomuser.me/api/portraits/thumb/women/27.jpg
